web-scraper-order|web-scraper-start-url|all_titles|bed|bath|location|size|streeteasylink|streeteasylink-href|price|amenities|available|listed_date|description|build_amenities|nearby_transportation|nearby_transportation_2
1558667897-130|https://streeteasy.com/for-rent/downtown?page=3&sort_by=sqft_desc|90 West Street #9X|0 bed|1 bath|Rental Unit in Financial District|610 ft²|90 West Street #9X|https://streeteasy.com/building/90-west-street-new_york/9x?featured=1|↑              $3,195                for rent|Doorman                                                                                                                                                  Elevator|Available Now|24 Days|Large studio on high floor with south and west exposures! 90 West Street is a beautiful pre-war, full service building. All apartments feature bamboo floors, granite counter tops, stainless steel appliances and custom cabinets. Building amenities include 24-hour doorman, elevators, resident lounge, billiards room, laundry room on every other floor, and a fitness center. Originally completed in 1907, architect Cass Gilbert used Gothic-inspiration to create a skyscraper with imposing gargoyles, pointed arches, and a distinguishing mansard roof. One hundred years later in 2007, after meticulous reconstruction, 90 West Street was listed in the National Register of Historic Places. In recognition it has been granted high honors from the National Trust for Historic Preservation and New York's Landmark Conservancy. Each one of the 410 apartments is stylishly appointed with fresh bamboo floors, handsome stone countertops, and bathrooms dressed in fine Italian tile and marble. With views of the Hudson River or the lights of lower Manhattan, you have your choice of an array of unique and spacious apartments. Many of our larger apartments feature private washer & dryers. Soaring ceilings, crisp clean lines, and contemporary details fuse the elegance of the past with the energy of the future in the heart of New York City|Bike Room                                              Community Recreation Facilities                                              Garage Parking                                              Gym                                              Laundry in Building                                              Live-in Super                                              Parking Available|1                   at Rector St            0.14 miles|R          W                   at Cortlandt St            0.19 miles
1558757841-1826|https://streeteasy.com/for-rent/downtown?page=59&sort_by=sqft_desc|111 Fulton Street #817|0 bed|1 bath|Condo in Fulton/Seaport|900 ft²|111 Fulton Street #817|https://streeteasy.com/building/district-111-fulton-street-new_york/817|$3,850                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|6/15/2019|24 Days|The District is a full service boutique condominium building located at 111 Fulton Street. It's a full service building equipped with a 24 hour doorman, porter, on-site resident manager, cold storage, gym, sauna and a pool. Common areas include a movie viewing room, a library, and a roof deck with amazing views and cabanas; all common areas have WiFi hotspots.This rarely available modern loft-like studio offers soaring 12 ft. ceilings, and a large bathroom with double vanity sinks. A separate sleeping alcove gives this unit a private space. The apartment includes top-of-the-line appliances including a Miele dishwasher, Miele convection oven, a Gaggenau cooktop, a Liebherr refrigerator, a Bosch washer/dryer, and central air conditioning. There is ample closet and wardrobe space throughout with beautiful natural sunlight. This unit also includes a private storage unit. The District is in close proximity to the new Fulton Street Transit Hub with direct access to several subway lines. The Transit Hub will soon connect to the World Trade Center, PATH, and Hudson River Ferries at the World Financial Center. In addition, this exciting and fast-growing neighborhood offers residents a wealth of options for shopping, dining, and entertainment. Call for a private viewing today. Available June 15th.|Cold Storage                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Media Room                                              Package Room                                              Parking Available                                              Storage Available                                              Swimming Pool|A          C          J          Z          2          3          4          5                   at Fulton St-Broadway-Nassau            under 500 feet|A          C          E          2          3                   at Park Place            0.2 miles
1558668863-314|https://streeteasy.com/for-rent/downtown?page=30&sort_by=sqft_desc|55 Wall Street #837|0 bed|1 bath|Condo in Financial District|600 ft²|55 Wall Street #837|https://streeteasy.com/building/cipriani-club-residences-at-55-wall/837?featured=1|↑              $3,550                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|6/1/2019|151 Days|Cipriani Club ResidencesThis FULLY-FURNISHED, Bright and Spacious (approx. 600 SF) loft-like Studio features a wall of over-sized windows with custom solar shades, wide plank Mahogany floors, sleek designer kitchen with Miele and Bosch appliances, FIOS internet,  Washer/Dryer, tons of closet space, and famously huge hotel-like bathrooms with 6-foot marble bath and separate shower. Designer   furnishings  throughout , as well as a Queen Size wall bed and LCD Flat screens. Building amenities are unparalleled and include: 24 Hour concierge, Grand library and reading room, Fitness Center, gorgeous landscaped Roof Deck, business center, billiards room, wine vault, and screening room. HIGHLIGHTSHigh speed internetElevatorFull-time DoormanWasher/Dryer In-UnitBUILDING AMENITIESConciergeGymLive-in SuperPackage RoomParking AvailableCommunity Recreation FacilitiesStorage AvailableLISTING AMENITIESCentral Air ConditioningDishwasherFurnishedOUTDOOR SPACE|Concierge                                              Gym                                              Laundry in Building                                              Live-in Super                                              Media Room                                              Package Room                                              Parking Available                                              Storage Available|2          3                   at Wall St            under 500 feet|J          Z                   at Broad St            under 500 feet
1558671867-823|https://streeteasy.com/for-rent/downtown?page=42&sort_by=sqft_desc|200 Water Street #327|0 bed|1 bath|Rental Unit in Fulton/Seaport|728 ft²|200 Water Street #327|https://streeteasy.com/building/200-water-street-new_york/327?featured=1|$3,600                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed|Available Now|23 Days|large studio|Concierge                                              Gym                                              Live-in Super|2          3                   at Wall St            0.25 miles|A          C          J          Z          2          3          4          5                   at Fulton St-Broadway-Nassau            0.26 miles
1558753891-1246|https://streeteasy.com/for-rent/downtown?page=59&sort_by=sqft_desc|111 Fulton Street #817|0 bed|1 bath|Condo in Fulton/Seaport|900 ft²|111 Fulton Street #817|https://streeteasy.com/building/district-111-fulton-street-new_york/817|$3,850                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|6/15/2019|24 Days|The District is a full service boutique condominium building located at 111 Fulton Street. It's a full service building equipped with a 24 hour doorman, porter, on-site resident manager, cold storage, gym, sauna and a pool. Common areas include a movie viewing room, a library, and a roof deck with amazing views and cabanas; all common areas have WiFi hotspots.This rarely available modern loft-like studio offers soaring 12 ft. ceilings, and a large bathroom with double vanity sinks. A separate sleeping alcove gives this unit a private space. The apartment includes top-of-the-line appliances including a Miele dishwasher, Miele convection oven, a Gaggenau cooktop, a Liebherr refrigerator, a Bosch washer/dryer, and central air conditioning. There is ample closet and wardrobe space throughout with beautiful natural sunlight. This unit also includes a private storage unit. The District is in close proximity to the new Fulton Street Transit Hub with direct access to several subway lines. The Transit Hub will soon connect to the World Trade Center, PATH, and Hudson River Ferries at the World Financial Center. In addition, this exciting and fast-growing neighborhood offers residents a wealth of options for shopping, dining, and entertainment. Call for a private viewing today. Available June 15th.|Cold Storage                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Media Room                                              Package Room                                              Parking Available                                              Storage Available                                              Swimming Pool|A          C          J          Z          2          3          4          5                   at Fulton St-Broadway-Nassau            under 500 feet|A          C          E          2          3                   at Park Place            0.2 miles
1558753567-1152|https://streeteasy.com/for-rent/downtown?page=64&sort_by=sqft_desc|50 Murray Street #323|0 bed|1 bath|Rental Unit in Tribeca|837 ft²|50 Murray Street #323|https://streeteasy.com/building/50-murray-street-new_york/323|$4,100                for rent|Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Pets Allowed|Available Now|16 Days|This is a studio with high beamed ceilings, great closet space, plank flooring, marble countertops, stainless steel appliances, and large windows. This apartment can be rented deposit free. Pay a small monthly fee to Rhino, and never pay a security deposit again. Please ask the leasing agent for more information on Rhino. Tribeca House at 50 Murray Street/53 Park Place is a 24-hr luxury concierge & doorman building in the heart of Tribeca. With every convenience outside your door, walk to some of the best shopping and dining options that NYC has to offer. Minutes to Whole Foods supermarket, Target, Brookfield Place, Fulton Street transit hub (A/C/E/J/Z/R/2/3/4/5 trains and PATH to NJ) Offering world class amenities, enjoy a 40% discounted membership from Equinox with direct access for Tribeca House residents, basketball court, lounge with kitchen, sun deck, superb roof deck with panoramic views, children's playroom, storage (fee) and on-site valet/dry cleaning.|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Garage Parking                                              Gym                                              Laundry in Building                                              Live-in Super                                              Package Room                                              Parking Available                                              Storage Available|A          C          E          1          2          3                   at Chambers St            under 500 feet|A          C          E          2          3          PATH                   at World Trade Center            under 500 feet
1558753431-1094|https://streeteasy.com/for-rent/downtown?page=67&sort_by=sqft_desc|20 Pine Street #1612|0 bed|1 bath|Condo in Financial District|800 ft²|20 Pine Street #1612|https://streeteasy.com/building/20-pine-the-collection/1612|$3,750                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|6/1/2019|37 Days|This Armani Casa designed Condominium is downtown's most sought after property.This apartment who comes with a storage! – has a spacious layout with high ceilings. The open kitchen is outfitted with top-of-the-line appliances (Sub-Zero Fridge, Miele oven, cook top & dishwasher) which are concealed by custom cabinetry, including washer and dryer. Extra large custom bathroom with bronze and exotic wood counters, features a relaxing soaking bathtub and separate recessed rain shower for an intimate haven of relaxing indulgence. The building offers 24 hour doormen and concierge, a Library Lounge, Fitness Center including a Yoga and Pilates studio, a Billiards Room, Golf Simulator, Valet services onsite, the Collection Pool and Spa, 3 Wi-Fi lounges including the 25th Floor Terrace Lounge – furnished with reflecting pool, sun-beds and amazing city views! – Spa Treatment Rooms, Turkish Hamman sauna. Residents have direct access to the 2,3,4,5 J & Z subway lines without having to go outside.|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Live-in Super                                              Media Room                                              Package Room                                              Parking Available                                              Storage Available                                              Swimming Pool                                              Virtual Doorman|2          3                   at Wall St            under 500 feet|4          5                   at Wall St            0.12 miles
1558753717-1193|https://streeteasy.com/for-rent/downtown?page=62&sort_by=sqft_desc|15 Broad Street #728|0 bed|1 bath|Condo in Financial District|855 ft²|15 Broad Street #728|https://streeteasy.com/building/downtown-by-philippe-starck/728|$3,400                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|Available Now|42 Days|"THE LOFT:This impressive loft-like studio has space to breathe. At a large 855sf, the open layout and the towering ceiling heights, make this home a one-of-a-kind. Large windows, freshly laid oak flooring, and unique architectural detailing, add to the overall appeal. The open kitchen and minimalist bath, are token Philippe Starck design. Other unique features include: generous closet space, track lighting, and a laundry closet with washer and dryer.THE BUILDING:15 Broad sits between Wall Street and Exchange Place, directly across from the NY Stock Exchange. The building previously served as headquarters to J.P. Morgan from its inception in 1914 and was converted in 2005 into the 382 unit, luxury condominium it is today. The exterior of the building is landmarked for its historical significance, while the interior was transformed by world renowned architect/designer, Philippe Starck.THE AMENITIES:15 Broad offers a spectacular list of amenities which feature: 24-hr doorman and concierge; a full-scale gym with state-of-the-art equipment; lap-pool and hot-tub; yoga/dance/martial arts studio; 1/2 court basketball; squash court; bowling alley; his and her locker rooms with sauna; lounge/party room; billiard and ping-pong tables; children's play room; movie screening room; and the 7th floor ""Starck Park"", a fully landscaped 5,000 sf. roof-park with sensational views onto the facade of the NYSE; complete with reflecting pool, fireplace, dining tables, and lounge chairs, all for relaxation and entertaining.NOTES:Please allow approximately 4 weeks for application processing and condo board approval."|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Live-in Super                                              Media Room                                              Package Room                                              Swimming Pool|J          Z                   at Broad St            under 500 feet|2          3                   at Wall St            under 500 feet
1558754738-1455|https://streeteasy.com/for-rent/downtown?page=79&sort_by=sqft_desc|254 Park Avenue South #3H|0 bed|1 bath|Condo in Flatiron|716 ft²|254 Park Avenue South #3H|https://streeteasy.com/building/254-pas/rental/2725836|$4,300                for rent|Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|18 Days|PRIME FLATIRON MEZZANINE LOFT STUDIO – NO FEE. Take advantage of this unique opportunity to live in one of NYC's most coveted neighborhoods in a truly great prewar gut-renovated boutique condominium. South-facing, spacious, light and airy Flatiron studio with standing loft in prewar Beaux Arts style full service 254 Park Avenue South. Look out through large full-height windows at pretty architectural details across a wide street. 14 foot ceilings. Well-appointed kitchen has Liebherr, Miele, and Bosch appliances. Ebony-stained wood plank floors. New combo W/D in unit. Resident amenities include a gym and a resident's lounge outfitted with billiard's and poker tables. Ideally situated – best of vibrant Union Square, Flatiron, NoMad and Gramercy, and every convenience right outside your door including Whole Foods/Trader Joes, not to mention some of NYC's most beloved restaurants. Great transportation options. Also available for Purchase. Brokers – CYOF.|Community Recreation Facilities                                              Concierge                                              Gym                                              Live-in Super|6                   at 23rd St            0.14 miles|N          R          W                   at 23rd St            0.18 miles
1558757130-1765|https://streeteasy.com/for-rent/downtown?page=85&sort_by=sqft_desc|180 Water Street #1317|0 bed|1 bath|Rental Unit in Financial District|679 ft²|180 Water Street #1317|https://streeteasy.com/building/180-water-street-new_york/1317|$3,401                                  NO FEE|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|7/7/2019|21 Days|NEW RESIDENTS – LIMITED TIME ONLYONE MONTH FREE (13 Month Lease)TWO MONTHS FREE (24 Month Lease)NO FEE, Guarantors Accepted.With attention paid to every detail, 180 Water covers all the angles. Residences feature 10 ceilings, over-sized picture frame windows, white oak finished flooring and gracious modern kitchens accented with custom paneled appliances and white lacquer cabinetry. A dramatic 18 lobby with a striking fireplace, 24-hour concierge, and valet service set the scene for a warm welcome home. The beautiful outdoor rooftop pool is the ultimate luxury amenity, and a great place to socialize, unwind and cool off. The residents' lounge, reserveable entertaining kitchen and dining room, TechnoGym outfitted fitness center, and yoga studio feature panoramic views of lower Manhattan and beyond.* Listed rent is net effective rent, based on a gross rent of $3710.00 and 2 Months Free|Gym                                              Laundry in Building|2          3                   at Wall St            0.21 miles|Ferry                   at Pier 11 Ferry Landing            0.24 miles
